[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-06-19-58-35-731288-aidankwok-3400
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: intercept_node
[launch_setup] data_subfolder: /home/aidankwok/Drone/data/intercept_node_2_05-06_19:58
[launch_setup] >>> Appending intercept_node
[INFO] [mavros_node-1]: process started with pid [3417]
[INFO] [track_person-2]: process started with pid [3419]
[INFO] [intercept_node-3]: process started with pid [3421]
[mavros_node-1] [INFO] [1778111916.049600601] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1778111916.049992355] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778111916.050053798] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1778111916.050086354] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1778111916.050114538] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1778111916.083240117] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1778111916.085228422] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1778111916.086437997] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1778111916.086512700] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1778111916.086830584] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1778111916.575575476] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778111916.575872509] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1778111916.577619132] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1778111916.577776815] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1778111916.577894406] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1778111916.585657016] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1778111916.598135133] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1778111916.656202501] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1778111916.656527534] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1778111916.749720322] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1778111916.749989133] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1778111916.789303012] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1778111916.789554915] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1778111916.823453502] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1778111916.823690035] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1778111916.863240133] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1778111916.863510870] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1778111916.910819948] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1778111916.914905593] [mavros]: Plugin cellular_status initialized
