[INFO] [launch]: All log files can be found below /root/.ros/log/2026-06-13-04-50-30-921272-aidankwok-54
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: takeoff_rtl_node
[launch_setup] data_subfolder: /root/Drone/data/takeoff_rtl_node_10_06-13_04:50
[launch_setup] >>> Appending takeoff_rtl_node
[INFO] [mavros_node-1]: process started with pid [71]
[INFO] [track_person-2]: process started with pid [73]
[INFO] [takeoff_rtl_node-3]: process started with pid [75]
[mavros_node-1] [INFO] [1781326231.268338514] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1781326231.270971465] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1781326231.272086611] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1781326231.272142813] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1781326231.272175424] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1781326231.322067769] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1781326231.324259895] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1781326231.324467002] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1781326231.324543834] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1781326231.326874364] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1781326231.518287139] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1781326231.520590818] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1781326231.524979884] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1781326231.527146621] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1781326231.529336136] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1781326231.532110436] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1781326231.594433326] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1781326231.636099696] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1781326231.636359413] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1781326231.785921896] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1781326231.786234260] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1781326231.867491519] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1781326231.886854861] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1781326231.942315824] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1781326231.944262232] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1781326231.996301686] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1781326232.002404016] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1781326232.072287063] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1781326232.078447596] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1781326232.200273137] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1781326232.210306783] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1781326232.276354957] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1781326232.276654618] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1781326232.383751118] [mavros]: Plugin debug_value created
