[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-07-20-45-52-866437-aidankwok-2340
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: takeoff_rtl_node
[launch_setup] data_subfolder: /home/aidankwok/Drone/data/takeoff_rtl_node_4_05-07_20:45
[launch_setup] >>> Appending takeoff_rtl_node
[INFO] [mavros_node-1]: process started with pid [2357]
[INFO] [track_person-2]: process started with pid [2359]
[INFO] [takeoff_rtl_node-3]: process started with pid [2361]
[mavros_node-1] [INFO] [1778201153.198443136] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1778201153.200026525] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778201153.200114506] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1778201153.200149264] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1778201153.200179449] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1778201153.261330228] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1778201153.263501481] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1778201153.265821675] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1778201153.267837929] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1778201153.269841924] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1778201153.451642670] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778201153.455579994] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1778201153.460158348] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1778201153.467031618] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1778201153.473214564] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1778201153.466698659] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1778201153.497196763] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1778201153.524461571] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1778201153.568750419] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1778201153.572987518] [mavros_router]: link[1000] detected remote address 254.190
[mavros_node-1] [INFO] [1778201153.579881640] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1778201153.690953627] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1778201153.697339922] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1778201153.770662725] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1778201153.777082501] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1778201153.863431964] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1778201153.868741828] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1778201153.921199783] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1778201153.921487187] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1778201153.961096665] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1778201153.961330421] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1778201154.052337126] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1778201154.060594918] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1778201154.152896034] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1778201154.159301940] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1778201154.284349114] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1778201154.293723392] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1778201154.406313509] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1778201154.412178496] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1778201154.415834286] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1778201154.564230611] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1778201154.574939818] [mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1778201154.709588730] [mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1778201154.716596240] [mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1778201154.920775759] [mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1778201154.926356434] [mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1778201155.165386653] [mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1778201155.165661928] [mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1778201155.253114490] [mavros]: Plugin geofence created
