[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-08-21-19-34-589184-aidankwok-1789
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: takeoff_rtl_node
[launch_setup] data_subfolder: /home/aidankwok/Drone/data/takeoff_rtl_node_4_05-08_21:19
[launch_setup] >>> Appending takeoff_rtl_node
[INFO] [mavros_node-1]: process started with pid [1806]
[INFO] [track_person-2]: process started with pid [1808]
[INFO] [takeoff_rtl_node-3]: process started with pid [1810]
[mavros_node-1] [INFO] [1778289574.979042237] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1778289574.981550961] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778289574.985242529] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1778289574.988300602] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1778289574.990969806] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1778289575.029687459] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1778289575.031853482] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1778289575.034204855] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1778289575.036886504] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1778289575.039928780] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1778289575.212484052] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778289575.215272441] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1778289575.220310445] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1778289575.225665391] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1778289575.232825270] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1778289575.223159223] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1778289575.277895714] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1778289575.280736566] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1778289575.364273294] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1778289575.370980268] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1778289575.451548275] [mavros_router]: link[1000] detected remote address 254.190
[mavros_node-1] [INFO] [1778289575.507774313] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1778289575.514896340] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1778289575.582072861] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1778289575.586835848] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1778289575.663581250] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1778289575.668941807] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1778289575.717775282] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1778289575.718213854] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1778289575.796798077] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1778289575.800303813] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1778289575.930094478] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1778289575.936101994] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1778289576.037145162] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1778289576.042043186] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1778289576.167136087] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1778289576.173040455] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1778289576.309568151] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1778289576.317211045] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1778289576.317455821] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1778289576.464403227] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1778289576.464631281] [mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1778289576.610312824] [mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1778289576.618154865] [mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1778289576.803589166] [mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1778289576.810540083] [mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1778289577.004478513] [mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1778289577.004809640] [mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1778289577.097687383] [mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1778289577.098254139] [mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1778289577.231215379] [mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1778289577.241986178] [mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1778289577.454765062] [mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1778289577.461452370] [mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1778289577.536422082] [mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1778289577.536867690] [mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1778289577.612068827] [mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1778289577.612651471] [mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1778289577.698692981] [mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1778289577.698997387] [mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1778289577.777288077] [mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1778289577.777555594] [mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1778289577.927577111] [mavros]: Plugin hil created
[mavros_node-1] [INFO] [1778289577.927804424] [mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1778289578.007477994] [mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1778289578.007761196] [mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1778289578.107853042] [mavros]: Plugin imu created
[mavros_node-1] [INFO] [1778289578.108142225] [mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1778289578.212919114] [mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1778289578.213188556] [mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1778289578.418999358] [mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1778289578.424228472] [mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1778289578.587508404] [mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1778289578.591562378] [mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1778289578.950658825] [mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1778289578.950933508] [mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1778289579.198473503] [mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1778289579.210336166] [mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1778289579.322376990] [mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1778289579.325417767] [mavros]: Plugin mocap_pose_estimate initialized
[takeoff_rtl_node-3] [INFO] [1778289579.466811510] [takeoff_rtl_node]: Waiting for FCU connection...
[mavros_node-1] [INFO] [1778289579.509039383] [mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1778289579.509297214] [mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1778289579.603099861] [mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1778289579.603345508] [mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1778289579.688605803] [mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1778289579.690512050] [mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1778289579.796171971] [mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1778289579.798496641] [mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1778289579.889180957] [mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1778289579.895707711] [mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1778289580.002099072] [mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1778289580.007351593] [mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1778289580.127324385] [mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1778289580.127572421] [mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1778289580.271214689] [mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1778289580.271470020] [mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1778289580.271766296] [mavros]: Plugin param ignored
[mavros_node-1] [INFO] [1778289580.426013236] [mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1778289580.426301141] [mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1778289580.626391579] [mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1778289580.628104030] [mavros]: Plugin px4flow initialized
[mavros_node-1] [INFO] [1778289580.832766790] [mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1778289580.833075565] [mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1778289580.933398671] [mavros]: Plugin rangefinder created
[mavros_node-1] [INFO] [1778289580.933684799] [mavros]: Plugin rangefinder initialized
[mavros_node-1] [INFO] [1778289581.048671328] [mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1778289581.048958882] [mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1778289581.147223891] [mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1778289581.147449760] [mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1778289581.254740525] [mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1778289581.254998005] [mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1778289581.380702077] [mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1778289581.380951427] [mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1778289581.496036605] [mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1778289581.496325233] [mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1778289581.621550974] [mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1778289581.621806620] [mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1778289581.833511096] [mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1778289581.836431484] [mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1778289581.963620009] [mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1778289581.970801426] [mavros]: Plugin sim_state initialized
[mavros_node-1] [INFO] [1778289582.158239783] [mavros]: Plugin sys_status created
[mavros_node-1] [INFO] [1778289582.162080110] [mavros]: Plugin sys_status initialized
[mavros_node-1] [INFO] [1778289582.279767161] [mavros.time]: TM: Timesync mode: MAVLINK
[mavros_node-1] [INFO] [1778289582.325515975] [mavros]: Plugin sys_time created
[mavros_node-1] [INFO] [1778289582.329275321] [mavros]: Plugin sys_time initialized
[mavros_node-1] [INFO] [1778289582.449380857] [mavros]: Plugin tdr_radio created
[mavros_node-1] [INFO] [1778289582.453921661] [mavros]: Plugin tdr_radio initialized
[mavros_node-1] [INFO] [1778289582.593163980] [mavros]: Plugin terrain created
[mavros_node-1] [INFO] [1778289582.593426404] [mavros]: Plugin terrain initialized
[mavros_node-1] [INFO] [1778289582.798000780] [mavros]: Plugin trajectory created
[mavros_node-1] [INFO] [1778289582.798291186] [mavros]: Plugin trajectory initialized
[mavros_node-1] [INFO] [1778289582.929650648] [mavros]: Plugin tunnel created
[mavros_node-1] [INFO] [1778289582.929958387] [mavros]: Plugin tunnel initialized
[mavros_node-1] [INFO] [1778289583.044683384] [mavros]: Plugin vfr_hud created
[mavros_node-1] [INFO] [1778289583.044980160] [mavros]: Plugin vfr_hud initialized
[mavros_node-1] [INFO] [1778289583.166949963] [mavros]: Plugin vibration created
[mavros_node-1] [INFO] [1778289583.167235127] [mavros]: Plugin vibration initialized
[mavros_node-1] [INFO] [1778289583.332733648] [mavros]: Plugin vision_pose created
