[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-01-20-59-52-121471-aidankwok-1195
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1196]
[INFO] [hover-2]: process started with pid [1198]
[mavros_node-1] [INFO] [1777683592.965562047] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1777683592.965855987] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777683592.965900931] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1777683592.965931449] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1777683592.965958838] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1777683593.052538656] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1777683593.052678450] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1777683593.052720987] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1777683593.052758245] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1777683593.053080315] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1777683593.667537138] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777683593.667764561] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1777683593.669731981] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1777683593.669893071] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1777683593.670011718] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1777683593.673871207] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1777683593.693095539] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1777683593.933153221] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1777683593.952647754] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1777683593.952869103] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1777683594.199385946] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1777683594.199861773] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1777683594.223263275] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1777683594.223448550] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1777683594.245258072] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1777683594.245540754] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1777683594.269819115] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1777683594.270012076] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1777683594.295529458] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1777683594.295699993] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1777683594.346206339] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1777683594.348429089] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1777683594.379490735] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1777683594.379690770] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1777683594.424562557] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1777683594.426701012] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1777683594.455690777] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1777683594.456335454] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1777683594.456531692] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1777683594.490440821] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1777683594.490708207] [mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1777683594.520732458] [mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1777683594.520975492] [mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1777683594.533952737] [mavros_router]: link[1000] detected remote address 254.190
[mavros_node-1] [INFO] [1777683594.563581401] [mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1777683594.563747306] [mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1777683594.643194547] [mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1777683594.643386082] [mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1777683594.686542206] [mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1777683594.686784073] [mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1777683594.758906573] [mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1777683594.759170459] [mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1777683594.841167575] [mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1777683594.841390924] [mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1777683594.879861700] [mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1777683594.880297546] [mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1777683594.923248209] [mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1777683594.923473058] [mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1777683594.973117915] [mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1777683594.977086236] [mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1777683595.024088626] [mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1777683595.024571916] [mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1777683595.087746214] [mavros]: Plugin hil created
[mavros_node-1] [INFO] [1777683595.087973785] [mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1777683595.138189950] [mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1777683595.138435891] [mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1777683595.203124096] [mavros]: Plugin imu created
[mavros_node-1] [INFO] [1777683595.203394185] [mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1777683595.271413089] [mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1777683595.271617976] [mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1777683595.342506473] [mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1777683595.343092595] [mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1777683595.413278120] [mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1777683595.415255688] [mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1777683595.466526561] [mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1777683595.466730059] [mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1777683595.524598312] [mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1777683595.526873450] [mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1777683595.580184243] [mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1777683595.580381500] [mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1777683595.649957069] [mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1777683595.650206695] [mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1777683595.703632524] [mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1777683595.705728442] [mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1777683595.761894569] [mavros]: Plugin obstacle_distance created
