[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-04-28-22-07-03-094826-aidankwok-1815
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1816]
[INFO] [hover-2]: process started with pid [1818]
[mavros_node-1] [INFO] [1777428423.409482584] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1777428423.409820858] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777428423.409885394] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1777428423.409918172] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1777428423.409947209] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1777428423.437107121] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1777428423.437257120] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1777428423.437297878] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1777428423.437332119] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1777428423.437636912] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1777428423.575944077] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777428423.579680408] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1777428423.585139886] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1777428423.588762440] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1777428423.592644343] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1777428423.596362099] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1777428423.598816962] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1777428423.626430240] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1777428423.652285629] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1777428423.652545460] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1777428423.723981991] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1777428423.724240969] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1777428423.760957316] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1777428423.763399494] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1777428423.806954768] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1777428423.810541878] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1777428423.850877334] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1777428423.854015282] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1777428423.900290101] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1777428423.903898636] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1777428423.982687625] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1777428423.982945733] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1777428424.017249199] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1777428424.017463771] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1777428424.057925096] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1777428424.058332240] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1777428424.090019326] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1777428424.090642671] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1777428424.090867299] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1777428424.129952139] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1777428424.130304839] [mavros]: Plugin esc_status initialized
