[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-01-21-11-18-377731-aidankwok-1439
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1440]
[INFO] [hover-2]: process started with pid [1442]
[mavros_node-1] [INFO] [1777684278.672372087] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1777684278.672693729] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777684278.672742673] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1777684278.672772876] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1777684278.672799505] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1777684278.692285721] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1777684278.693122908] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1777684278.693199036] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1777684278.693237924] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1777684278.695339474] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1777684278.824151492] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1777684278.824386339] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1777684278.826086805] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1777684278.826241617] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1777684278.826353374] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1777684278.832980721] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1777684278.849044803] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1777684278.882421626] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1777684278.884096907] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1777684278.897990792] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1777684278.957582065] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1777684278.959267290] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1777684278.992720816] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1777684278.994149528] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1777684279.017677977] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1777684279.018375111] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1777684279.047684277] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1777684279.051779620] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1777684279.074683397] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1777684279.074887189] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1777684279.116233074] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1777684279.116445921] [mavros]: Plugin command initialized
